,TenantId,Id,Employee ID,Employee Code,TransDateTime,Type,Shift Name,Shift Id,Date
0,3272,25013474,38744,105,2024-01-01 08:31:00.000,Attend,roster 7-7 ,4227,2024-01-01 00:00:00.000
1,3272,25013510,38744,105,2024-01-01 16:45:00.000,Leave,roster 7-7 ,4227,2024-01-01 00:00:00.000
2,3272,25018864,38744,105,2024-01-02 11:42:00.000,Attend,roster 7-7 ,4227,2024-01-02 00:00:00.000
3,3272,25018863,38744,105,2024-01-02 06:59:00.000,Missing Action,roster 7-7 ,4227,2024-01-02 00:00:00.000
4,3272,25030937,38744,105,2024-01-03 08:48:00.000,Attend,roster 7-7 ,4227,2024-01-03 00:00:00.000
5,3272,25031993,38744,105,2024-01-03 06:59:00.000,Missing Action,roster 7-7 ,4227,2024-01-03 00:00:00.000
6,3272,25046985,38744,105,2024-01-04 09:05:00.000,Attend,roster 7-7 ,4227,2024-01-04 00:00:00.000
7,3272,25074447,38744,105,2024-01-04 15:54:00.000,Leave,roster 7-7 ,4227,2024-01-04 00:00:00.000
8,3272,25079344,38744,105,2024-01-07 10:06:00.000,Attend,roster 7-7 ,4227,2024-01-07 00:00:00.000
9,3272,25079343,38744,105,2024-01-07 06:59:00.000,Missing Action,roster 7-7 ,4227,2024-01-07 00:00:00.000
10,3272,25086007,38744,105,2024-01-08 08:25:00.000,Attend,roster 7-7 ,4227,2024-01-08 00:00:00.000
11,3272,25124532,38744,105,2024-01-08 15:54:00.000,Leave,roster 7-7 ,4227,2024-01-08 00:00:00.000
12,3272,25124560,38744,105,2024-01-09 07:52:00.000,Attend,roster 7-7 ,4227,2024-01-09 00:00:00.000
13,3272,25124566,38744,105,2024-01-09 15:52:00.000,Leave,roster 7-7 ,4227,2024-01-09 00:00:00.000
14,3272,25192786,38744,105,2024-01-10 15:53:00.000,Attend,roster 7-7 ,4227,2024-01-10 00:00:00.000
15,3272,25192785,38744,105,2024-01-10 06:59:00.000,Missing Action,roster 7-7 ,4227,2024-01-10 00:00:00.000
16,3272,25192812,38744,105,2024-01-11 07:55:00.000,Attend,roster 7-7 ,4227,2024-01-11 00:00:00.000
17,3272,25192815,38744,105,2024-01-11 11:27:00.000,Leave,roster 7-7 ,4227,2024-01-11 00:00:00.000
18,3272,25195083,38744,105,2024-01-14 00:00:00.000,Absence,roster 7-7 ,4227,2024-01-14 00:00:00.000
19,3272,25217430,38744,105,2024-01-15 00:00:00.000,Absence,roster 7-7 ,4227,2024-01-15 00:00:00.000
20,3272,25851546,38744,105,2024-01-16 09:24:00.000,Attend,roster 7-7 ,4227,2024-01-16 00:00:00.000
21,3272,25248224,38744,105,2024-01-16 16:45:00.000,Leave,roster 7-7 ,4227,2024-01-16 00:00:00.000
22,3272,25851662,38744,105,2024-01-17 07:59:00.000,Attend,roster 7-7 ,4227,2024-01-17 00:00:00.000
23,3272,25271068,38744,105,2024-01-17 16:04:00.000,Leave,roster 7-7 ,4227,2024-01-17 00:00:00.000
24,3272,25851781,38744,105,2024-01-18 08:33:00.000,Attend,roster 7-7 ,4227,2024-01-18 00:00:00.000
25,3272,25288071,38744,105,2024-01-18 16:41:00.000,Leave,roster 7-7 ,4227,2024-01-18 00:00:00.000
26,3272,25852101,38744,105,2024-01-21 08:09:00.000,Attend,roster 7-7 ,4227,2024-01-21 00:00:00.000
27,3272,25339756,38744,105,2024-01-21 17:12:00.000,Leave,roster 7-7 ,4227,2024-01-21 00:00:00.000
28,3272,25852229,38744,105,2024-01-22 09:26:00.000,Attend,roster 7-7 ,4227,2024-01-22 00:00:00.000
29,3272,25358757,38744,105,2024-01-22 16:50:00.000,Leave,roster 7-7 ,4227,2024-01-22 00:00:00.000
30,3272,25852345,38744,105,2024-01-23 07:58:00.000,Attend,roster 7-7 ,4227,2024-01-23 00:00:00.000
